team,player,pos,value [m],xV GW1 [k],xV GW1-3 [k],xV GW1-5 [k],xV seas [k],xP%gebyr_GW_1-3 [k],xP_GW_1-3 [k],xG_GW_1-3,xGI_GW_1-3,xP_GW1 [k],xV GW1 [k],xP%gebyr_GW1 [k],xG_GW1,xGI_GW1,xP%gebyr_GW_1-5 [k],xP_GW_1-5 [k],xG_GW_1-5,xGI_GW_1-5,xP_GW_all [k],xG_GW_all,xGI_GW_all,xP%gebyr_GW_all [k],sp_GW1,xGP,pop,xG%,xA%,game
BVB,G. Kobel,G,4.2,9.6,3.2,1.9,1.6,-1.7,39.9,0.0,0.0,39.9,9.6,-1.7,0.0,0.0,-1.7,39.9,0.0,0.0,39.9,0.0,0.0,-1.7,1.0,1.0,1.8,0.0,0.0,CLK
BVB,L. Unbehaun,G,3.5,-1.4,-0.5,-0.3,-0.2,-40.0,-5.0,0.0,0.0,-5.0,-1.4,-40.0,0.0,0.0,-40.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,CLK
BVB,A. Meyer,G,3.5,-1.4,-0.5,-0.3,-0.2,-40.0,-5.0,0.0,0.0,-5.0,-1.4,-40.0,0.0,0.0,-40.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,CLK
BVB,S. Ostrzinski,G,3.0,-1.7,-0.6,-0.3,-0.3,-35.0,-5.0,0.0,0.0,-5.0,-1.7,-35.0,0.0,0.0,-35.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0,0.0,CLK
BVB,R. Guerreiro,F,4.2,7.6,2.5,1.5,1.3,-10.1,31.4,0.05,0.12,31.4,7.6,-10.1,0.05,0.12,-10.1,31.4,0.05,0.12,31.4,0.05,0.12,-10.1,1.0,1.0,5.35,0.06,0.12,CLK
BVB,N. Süle,F,3.6,6.5,2.2,1.3,1.1,-12.5,23.2,0.03,0.06,23.2,6.5,-12.5,0.03,0.06,-12.5,23.2,0.03,0.06,23.2,0.03,0.06,-12.5,1.0,1.0,0.0,0.03,0.05,CLK
BVB,M. Hummels,F,3.5,-0.1,-0.0,-0.0,-0.0,-35.3,-0.3,0.0,0.0,-0.3,-0.1,-35.3,0.0,0.0,-35.3,-0.3,0.0,0.0,-0.3,0.0,0.0,-35.3,0.0,0.35,0.0,0.03,0.03,CLK
BVB,T. Meunier,F,3.5,-0.6,-0.2,-0.1,-0.1,-36.9,-1.9,0.0,0.0,-1.9,-0.6,-36.9,0.0,0.0,-36.9,-1.9,0.0,0.0,-1.9,0.0,0.0,-36.9,0.0,0.22,0.0,0.02,0.11,CLK
BVB,N. Schlotterbeck,F,3.1,8.2,2.7,1.6,1.4,-5.7,25.3,0.04,0.08,25.3,8.2,-5.7,0.04,0.08,-5.7,25.3,0.04,0.08,25.3,0.04,0.08,-5.7,1.0,1.0,8.13,0.05,0.06,CLK
BVB,J. Ryerson,F,3.0,-0.1,-0.0,-0.0,-0.0,-30.4,-0.3,0.0,0.0,-0.3,-0.1,-30.4,0.0,0.0,-30.4,-0.3,0.0,0.0,-0.3,0.0,0.0,-30.4,0.0,0.35,2.2,0.03,0.01,CLK
BVB,S. Coulibaly,F,2.0,-2.5,-0.8,-0.5,-0.4,-25.0,-5.0,0.0,0.0,-5.0,-2.5,-25.0,0.0,0.0,-25.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.02,0.04,CLK
BVB,T. Rothe,F,2.0,-2.5,-0.8,-0.5,-0.4,-25.0,-5.0,0.0,0.0,-5.0,-2.5,-25.0,0.0,0.0,-25.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.02,0.03,CLK
BVB,J. Bellingham,M,6.0,4.0,1.3,0.8,0.7,-35.9,24.4,0.09,0.16,24.4,4.0,-35.9,0.09,0.16,-35.9,24.4,0.09,0.16,24.4,0.09,0.16,-35.9,1.0,1.0,3.16,0.11,0.11,CLK
BVB,J. Brandt,M,5.1,5.5,1.8,1.1,0.9,-22.9,27.6,0.08,0.17,27.6,5.5,-22.9,0.08,0.17,-22.9,27.6,0.08,0.17,27.6,0.08,0.17,-22.9,1.0,1.0,2.13,0.09,0.15,CLK
BVB,M. Reus,M,5.0,-0.3,-0.1,-0.1,-0.0,-51.2,-1.3,0.01,0.01,-1.3,-0.3,-51.2,0.01,0.01,-51.2,-1.3,0.01,0.01,-1.3,0.01,0.01,-51.2,0.0,0.18,1.55,0.16,0.14,CLK
BVB,G. Reyna,M,3.5,1.1,0.4,0.2,0.2,-31.1,3.9,0.01,0.02,3.9,1.1,-31.1,0.01,0.02,-31.1,3.9,0.01,0.02,3.9,0.01,0.02,-31.1,0.0,0.45,2.92,0.14,0.13,CLK
BVB,M. Wolf,M,3.0,5.1,1.7,1.0,0.9,-14.8,15.6,0.05,0.1,15.6,5.1,-14.8,0.05,0.1,-14.8,15.6,0.05,0.1,15.6,0.05,0.1,-14.8,1.0,1.0,0.0,0.05,0.08,CLK
