team_short,xp/mio GW1-3 [k],xp/mio GW1 [k],xCS_GW1-3,xG_GW1-3,xp/player GW1-3 [k],program,xp/player_seas [k],xCS_GW1,xG_GW1,xCS_seas,xG_seas,xp/mio_seas [k],APP [m],game
ACM,2.2,6.6,0.25,0.9,9.8,"GW1[a]TOT, ",4.9,0.25,0.9,0.25,0.9,1.1,4.5,CL
PSG,2.2,6.6,0.17,1.25,11.4,"GW1[a]BAY, ",5.7,0.17,1.25,0.17,1.25,1.1,5.2,CL
BVB,2.0,5.9,0.22,0.87,8.8,"GW1[a]CHE, ",4.4,0.22,0.87,0.22,0.87,1.0,4.5,CL
FFM,1.5,4.6,0.17,0.77,5.2,"GW1[a]NAP, ",2.6,0.17,0.77,0.17,0.77,0.8,3.4,CL
BRU,1.5,4.5,0.15,0.67,4.5,"GW1[a]BEN, ",2.2,0.15,0.67,0.15,0.67,0.8,3.0,CL
RBL,0.9,2.7,0.13,0.76,3.9,"GW1[a]MAC, ",2.0,0.13,0.76,0.13,0.76,0.4,4.4,CL
BEN,6.8,20.4,0.51,1.87,25.4,"GW1[h]BRU, ",12.7,0.51,1.87,0.51,1.87,3.4,3.7,CLK
MAC,6.2,18.7,0.45,2.27,27.6,"GW1[h]RBL, ",13.8,0.45,2.27,0.45,2.27,3.1,4.4,CLK
NAP,5.5,16.5,0.46,1.78,23.0,"GW1[h]FFM, ",11.5,0.46,1.78,0.46,1.78,2.7,4.2,CLK
CHE,4.9,14.8,0.42,1.53,20.1,"GW1[h]BVB, ",10.0,0.42,1.53,0.42,1.53,2.5,4.1,CLK
TOT,4.1,12.2,0.41,1.4,17.1,"GW1[h]ACM, ",8.6,0.41,1.4,0.41,1.4,2.0,4.2,CLK
INT,3.8,11.5,0.32,1.21,15.8,"GW1[a]FCP, ",7.9,0.32,1.21,0.32,1.21,1.9,4.1,CLK
FCP,3.3,9.9,0.3,1.15,11.5,"GW1[h]INT, ",5.7,0.3,1.15,0.3,1.15,1.6,3.5,CLK
BAY,3.3,9.8,0.29,1.76,18.8,"GW1[h]PSG, ",9.4,0.29,1.76,0.29,1.76,1.6,5.8,CLK
LIV,3.2,9.5,0.21,1.24,13.2,"GW1[a]RMA, ",6.6,0.21,1.24,0.21,1.24,1.6,4.2,CLK
RMA,3.1,9.2,0.29,1.57,16.3,"GW1[h]LIV, ",8.2,0.29,1.57,0.29,1.57,1.5,5.3,CLK
PSG,2.3,7.0,0.17,1.25,11.4,"GW1[a]BAY, ",5.7,0.17,1.25,0.17,1.25,1.2,4.9,CLK
ACM,2.3,6.9,0.25,0.9,9.8,"GW1[a]TOT, ",4.9,0.25,0.9,0.25,0.9,1.2,4.3,CLK
BVB,2.1,6.2,0.22,0.87,8.8,"GW1[a]CHE, ",4.4,0.22,0.87,0.22,0.87,1.0,4.3,CLK
BRU,1.7,5.1,0.15,0.67,4.5,"GW1[a]BEN, ",2.2,0.15,0.67,0.15,0.67,0.8,2.7,CLK
FFM,1.5,4.4,0.17,0.77,5.2,"GW1[a]NAP, ",2.6,0.17,0.77,0.17,0.77,0.7,3.5,CLK
RBL,0.9,2.8,0.13,0.76,3.9,"GW1[a]MAC, ",2.0,0.13,0.76,0.13,0.76,0.5,4.2,CLK
RSO,10.2,13.3,1.56,4.41,50.9,"GW1[h]CCF, GW2[a]MCA, GW3[h]ELC, GW4[a]VIL, GW5[h]GET, ",31.7,0.6,1.55,5.1,17.42,6.4,5.0,LL
VLL,10.0,11.2,0.97,3.27,30.4,"GW1[h]ESP, GW2[a]ELC, GW3[h]BIL, GW4[a]RMA, GW5[h]MCA, ",17.9,0.4,1.14,3.21,13.58,5.9,3.1,LL
GET,8.8,8.8,1.14,2.88,30.2,"GW1[h]GIR, GW2[a]CCF, GW3[h]SEV, GW4[a]BIL, GW5[a]RSO, ",20.8,0.4,0.93,4.33,12.95,6.0,3.4,LL
CDV,8.7,7.7,1.13,3.45,31.6,"GW1[a]OSA, GW2[h]RVA, GW3[a]ESP, GW4[h]ALM, GW5[a]SEV, ",31.2,0.38,0.94,4.79,18.75,8.6,3.6,LL
VIL,8.5,10.0,0.99,3.93,34.5,"GW1[a]ALM, GW2[h]BET, GW3[a]OSA, GW4[h]RSO, GW5[a]RMA, ",29.9,0.32,1.45,4.21,18.63,7.4,4.0,LL
ATM,8.5,9.9,1.36,4.28,41.9,"GW1[h]SEV, GW2[a]GIR, GW3[h]VAL, GW4[h]BET, GW5[a]RVA, ",37.2,0.51,1.45,5.65,21.16,7.6,4.9,LL
MCA,8.2,14.3,1.19,2.98,30.6,"GW1[h]ELC, GW2[h]RSO, GW3[a]BET, GW4[h]OSA, GW5[a]VLL, ",24.8,0.57,1.31,4.64,14.05,6.7,3.7,LL
FCB,8.1,10.7,1.16,4.84,46.6,"GW1[h]VAL, GW2[a]BIL, GW3[h]RMA, GW4[a]ELC, GW5[h]GIR, ",50.8,0.51,1.84,6.06,26.7,8.8,5.8,LL
ALM,7.4,7.5,0.78,3.36,24.3,"GW1[h]VIL, GW2[a]SEV, GW3[h]CCF, GW4[a]CDV, GW5[h]VAL, ",20.3,0.24,1.13,3.19,15.82,6.2,3.3,LL
SEV,7.4,2.9,1.03,3.28,27.0,"GW1[a]ATM, GW2[h]ALM, GW3[a]GET, GW4[a]CCF, GW5[h]CDV, ",27.4,0.24,0.68,4.15,17.93,7.5,3.6,LL
GIR,7.4,8.8,0.93,2.92,25.6,"GW1[a]GET, GW2[h]ATM, GW3[a]RVA, GW4[h]ESP, GW5[a]FCB, ",28.8,0.39,0.92,3.66,18.38,8.3,3.5,LL
RMA,7.2,7.4,1.16,5.24,46.0,"GW1[a]BET, GW2[h]ESP, GW3[a]FCB, GW4[h]VLL, GW5[h]VIL, ",50.5,0.41,1.59,5.66,29.17,7.9,6.4,LL
CCF,7.2,1.9,0.88,2.57,22.4,"GW1[a]RSO, GW2[h]GET, GW3[a]ALM, GW4[h]SEV, GW5[a]BET, ",18.8,0.21,0.52,3.68,13.27,6.0,3.1,LL
RVA,6.9,7.2,1.0,3.21,27.2,"GW1[h]BIL, GW2[a]CDV, GW3[h]GIR, GW4[a]VAL, GW5[h]ATM, ",25.2,0.37,0.94,4.39,16.16,6.4,3.9,LL
BIL,6.6,5.6,1.04,3.33,32.1,"GW1[a]RVA, GW2[h]FCB, GW3[a]VLL, GW4[h]GET, GW5[a]ESP, ",29.7,0.39,0.99,5.13,18.78,6.1,4.8,LL
OSA,6.0,6.2,1.02,3.06,22.9,"GW1[h]CDV, GW2[a]VAL, GW3[h]VIL, GW4[a]MCA, GW5[h]ELC, ",22.5,0.39,0.97,4.6,14.98,5.9,3.8,LL
BET,5.6,3.7,0.87,3.3,20.8,"GW1[h]RMA, GW2[a]VIL, GW3[h]MCA, GW4[a]ATM, GW5[h]CCF, ",21.6,0.2,0.89,4.14,17.44,5.8,3.7,LL
VAL,5.4,1.8,0.81,2.78,19.1,"GW1[a]FCB, GW2[h]OSA, GW3[a]ATM, GW4[h]RVA, GW5[a]ALM, ",26.7,0.16,0.67,4.14,17.23,7.5,3.5,LL
